"","X","Y","H","DBH"
"50",753752.337474587,3388588.70512696,5.3005132,0.176776695296637
"51",753791.340684157,3388591.2491147,5.6219156,0.153093108923949
"52",753756.339483413,3388609.8443539,5.455168,0.450693909432999
"53",753996.128332009,3388844.60585732,1.9729372,0.405046293650491
"54",753968.546602257,3388787.33205205,5.631114,0.293150984988964
"55",753881.852081367,3388705.8334686,6.1122896,0.279508497187474
"56",753946.395220543,3388768.77261721,6.007396,0.330718913883074
"57",754050.230068511,3388854.94050599,5.7932866,0.385275875185561
"58",754003.238694346,3388816.07184325,6.3309542,0.265165042944955
"59",754046.063312673,3388885.88119052,9.4682627,0.21650635094611
"60",753992.880129862,3388813.29596344,9.4503054,0.233853586673371
"61",753880.486658818,3388749.03703122,6.6089965,0.353553390593274
"62",753912.67758951,3388737.68816437,6.11515,0.293150984988964
"63",754077.512649923,3388917.78613719,7.0849085,0.375
"64",753980.087205525,3388796.72563945,6.612526,0.395284707521047
"65",754011.224100437,3388857.02111565,9.43769999999999,0.21650635094611
"66",754092.341383009,3388938.74767427,1.3223237,0.579601155968481
"67",753923.808730301,3388748.49888062,5.37688199999999,0.233853586673371
"68",754015.058155913,3388825.51383961,6.48109639999999,0.342326598440729
"69",753891.749889578,3388716.09158359,5.6732694,0.306186217847897
"70",753868.75943269,3388694.50837253,6.6015472,0.655505530106345
"71",754038.389864346,3388845.07679684,6.3936675,0.375
"72",754075.950107536,3388876.04836,8.4540066,0.537645329190164
"73",754030.819283099,3388879.03526664,6.3051416,0.318688719599549
"74",753886.083436587,3388754.30416138,3.31753609999999,0.353553390593274
"75",753891.250420718,3388759.87765606,5.147073,0.265165042944955
"76",754026.790045267,3388835.50315642,6.22762999999998,0.293150984988964
"77",754072.095486586,3388907.44137588,9.35357,0.21650635094611
"78",754062.365140792,3388865.26222299,6.30288199999999,0.364434493427831
"79",753870.204578259,3388696.0072233,6.4781666,0.559016994374947
"80",754294.303073127,3389045.2660207,1.4868052,0.530330085889911
"81",754292.782398196,3389045.94004495,1.283733,0.592927061281571
"82",754262.38660611,3389010.30523232,1.77071,0.661437827766148
"83",754214.569315522,3388991.03325442,5.6864948,0.318688719599549
"84",754237.899722361,3389010.15168301,5.869409,0.293150984988964
"85",754264.668717837,3389072.88529126,6.575391,0.353553390593274
